pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel,Pitcher,Swing,Miss
CU,2020-08-08,73.9,1.16927194646315,6.33829030297744,Chadwick Tromp,644433,477132,null,ball,NA,NA,NA,NA,14,null,R,R,L,LAD,SF,B,null,null,0,1,2020,-0.437561701796307,-1.27977838536264,0.08,1.26,NA,NA,NA,2,4,Top,NA,NA,NA,NA,605131,NA,null,-1.44876708686824,-107.672359583196,-0.839368363570449,-3.13550908482464,19.3247652352074,-42.1760819375057,3.26,1.6,NA,NA,NA,73.391,2401,5.91123898259283,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.16927194646315,null,null,null,null,null,null,null,27,2,Curveball,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
SL,2020-08-08,88,1.61455832314456,6.23815894184168,Chadwick Tromp,644433,477132,null,swinging_strike,NA,NA,NA,NA,9,null,R,R,L,LAD,SF,S,null,null,0,0,2020,-0.504430664406383,0.636026734138161,0.35,1.86,NA,NA,NA,2,4,Top,NA,NA,NA,NA,605131,NA,null,-2.02643607531806,-128.161630959758,-5.86520756300167,-5.20510577701478,24.4765707024451,-24.1987308998648,3.26,1.48,NA,NA,NA,87.993,2687,6.06867844038307,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.61455832314456,null,null,null,null,null,null,null,27,1,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,1,1
CU,2020-08-08,73,1.2375524400658,6.30658500765878,Darin Ruf,573131,477132,field_out,hit_into_play,NA,NA,NA,NA,6,"Darin Ruf grounds out, shortstop Chris Taylor to first baseman Max Muncy.",R,R,L,LAD,SF,X,6,ground_ball,2,2,2020,-0.604029148192907,-1.41445763700462,0.74,2.23,NA,NA,NA,1,4,Top,110,172.9,NA,NA,605131,NA,null,0.03257185824824,-106.220727874692,1.59491004559194,-4.56255387233464,19.0731868938587,-43.3551014300709,3.47,1.59,19,67.1,-6,72.212,2556,5.79887617433363,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.2375524400658,0.068,0.062,0.00,1,0,0,2,26,5,Curveball,0,2,2,0,2,0,2,0,Infield shift,Standard,0,Kershaw,1,0
SL,2020-08-08,86.5,1.51528795499609,6.24957660522068,Darin Ruf,573131,477132,null,foul,NA,NA,NA,NA,7,null,R,R,L,LAD,SF,S,null,null,2,1,2020,-0.817162394668062,0.446940176534807,-0.31,2.14,NA,NA,NA,1,4,Top,NA,NA,NA,NA,605131,NA,null,-2.67798364195291,-125.910150538323,-4.49610786334099,-8.15668877877526,25.4038908584127,-26.7193216934275,3.47,1.59,NA,NA,NA,86.224,2682,6.08175425550176,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.51528795499609,null,null,null,null,null,null,null,26,4,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,1,0
SL,2020-08-08,86.3,1.52681972681606,6.25886518279693,Darin Ruf,573131,477132,null,ball,NA,NA,NA,NA,14,null,R,R,L,LAD,SF,B,null,null,1,1,2020,-0.441915307359848,0.414810028686595,0.15,0.69,NA,NA,NA,1,4,Top,NA,NA,NA,NA,605131,NA,null,-2.37263474373107,-125.703963837693,-7.97528925578192,-4.35633789788796,20.8411688279807,-26.5633361785249,3.52,1.58,NA,NA,NA,86.745,2690,6.11512769838492,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.52681972681606,null,null,null,null,null,null,null,26,3,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
CU,2020-08-08,73.5,1.21248459367572,6.30092545993903,Darin Ruf,573131,477132,null,ball,NA,NA,NA,NA,13,null,R,R,L,LAD,SF,B,null,null,0,1,2020,-0.461009355539668,-1.20765703305411,-0.13,1,NA,NA,NA,1,4,Top,NA,NA,NA,NA,605131,NA,null,-1.90205455123339,-106.999607137782,-1.30178404924317,-3.16831801772586,19.8663973762094,-41.3876224325663,3.35,1.64,NA,NA,NA,72.806,2379,5.91134870452923,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.21248459367572,null,null,null,null,null,null,null,26,2,Curveball,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
FF,2020-08-08,90.3,1.53366192200041,6.12563691641739,Darin Ruf,573131,477132,null,called_strike,NA,NA,NA,NA,7,null,R,R,L,LAD,SF,S,null,null,0,0,2020,-0.0271533520620938,1.59300404914567,-0.39,1.84,NA,NA,NA,1,4,Top,NA,NA,NA,NA,605131,NA,null,-4.71356931948486,-131.298844434508,-8.08059202175534,0.701305057396097,28.2875252599828,-12.2231048388886,3.3,1.6,NA,NA,NA,90.141,2469,6.27465019977942,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.53366192200041,null,null,null,null,null,null,null,26,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
SL,2020-08-08,85.6,1.56298010862995,6.27466656096347,Hunter Pence,452254,477132,strikeout,swinging_strike,NA,NA,NA,NA,13,Hunter Pence strikes out swinging.,R,R,L,LAD,SF,S,2,null,0,2,2020,-0.299937728078132,0.458672612752875,-1.22,1.03,NA,NA,NA,0,4,Top,NA,NA,NA,NA,605131,NA,null,-5.91874443738001,-124.48156891607,-7.01508436977314,-2.01749898194865,23.4543422259345,-26.2315990835525,3.55,1.63,NA,NA,NA,85.229,2668,5.94638603498797,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.56298010862995,null,null,0.00,1,0,0,null,25,3,Slider,0,2,2,0,2,0,2,0,Standard,Standard,NA,Kershaw,1,1
CU,2020-08-08,74.1,1.24619491928678,6.40434553330097,Hunter Pence,452254,477132,null,called_strike,NA,NA,NA,NA,8,null,R,R,L,LAD,SF,S,null,null,0,1,2020,-0.0900694156141529,-1.0528180639178,-0.14,1.76,NA,NA,NA,0,4,Top,NA,NA,NA,NA,605131,NA,null,-2.67200476404185,-107.904115106223,-0.41702083407543,-0.246422274534993,18.4956806850607,-40.5500572616876,3.02,1.7,NA,NA,NA,74.218,2351,6.30332219931135,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.24619491928678,null,null,null,null,null,null,null,25,2,Curveball,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
SL,2020-08-08,85.8,1.61504124241864,6.30917692037962,Hunter Pence,452254,477132,null,swinging_strike,NA,NA,NA,NA,5,null,R,R,L,LAD,SF,S,null,null,0,0,2020,-0.383692284622419,0.678474039309471,-0.09,2.25,NA,NA,NA,0,4,Top,NA,NA,NA,NA,605131,NA,null,-3.24191590818498,-124.966951273687,-4.72819081193128,-3.41337957452541,23.9757792685659,-24.3288350148211,3.55,1.63,NA,NA,NA,85.649,2623,6.03265799166408,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.61504124241864,null,null,null,null,null,null,null,25,1,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,1,1
